719.074	2812
720.467	2822
721.860	2853
723.253	2837
724.645	2815
726.038	2884
727.429	2905
728.821	2965
730.212	2958
731.603	2999
732.994	2930
734.384	2913
735.774	2949
737.164	2888
738.554	2913
739.943	2955
741.332	3010
742.721	2972
744.109	2952
745.497	3031
746.885	2952
748.272	2985
749.659	2989
751.046	3042
752.433	2954
753.819	3011
755.205	2975
756.591	3005
757.976	2979
759.361	3043
760.746	2980
762.130	3019
763.514	3066
764.898	3045
766.282	3030
767.665	3071
769.048	2968
770.431	2991
771.813	2987
773.195	3001
774.577	3017
775.959	3028
777.340	3006
778.721	2990
780.102	2968
781.482	3037
782.862	3030
784.242	3060
785.621	3002
787.000	3023
788.379	3004
789.758	3010
791.136	2970
792.514	2959
793.892	2995
795.269	2927
796.646	2988
798.023	2931
799.399	3024
800.776	2948
802.152	3004
803.527	2940
804.902	2977
806.278	2991
807.652	3013
809.027	3039
810.401	3003
811.775	2973
813.148	2995
814.521	3027
815.894	2984
817.267	2987
818.639	2990
820.011	3024
821.383	2970
822.755	2977
824.126	3005
825.497	2999
826.867	3023
828.238	3037
829.608	2964
830.977	2990
832.347	3023
833.716	3034
835.085	2989
836.453	2967
837.821	2970
839.189	3021
840.557	2980
841.924	3056
843.291	3006
844.658	2928
846.024	2995
847.391	2964
848.756	2957
850.122	3051
851.487	3082
852.852	3010
854.217	3096
855.581	3039
856.945	2998
858.309	2984
859.673	3065
861.036	3010
862.399	3009
863.761	3043
865.124	2980
866.486	3009
867.847	2957
869.209	2986
870.570	3034
871.931	3028
873.291	3043
874.651	2983
876.011	3040
877.371	3057
878.730	3057
880.089	3045
881.448	3073
882.807	3069
884.165	3098
885.523	3055
886.880	3009
888.238	3092
889.595	3051
890.951	3053
892.308	3099
893.664	3056
895.019	3058
896.375	3056
897.730	3071
899.085	3056
900.440	3051
901.794	2965
903.148	3000
904.502	3028
905.855	2970
907.208	3006
908.561	3046
909.914	3026
911.266	2988
912.618	2987
913.970	2996
915.321	2930
916.672	2960
918.023	3005
919.373	2989
920.723	2971
922.073	3012
923.423	3023
924.772	2997
926.121	2975
927.470	3033
928.818	2931
930.166	2969
931.514	2977
932.862	2945
934.209	2980
935.556	2948
936.903	2978
938.249	2941
939.595	2976
940.941	3006
942.286	3027
943.631	2982
944.976	2974
946.321	2943
